#Compound List
#
Show/Hide,Cpd,Label,Name,Formula,Score,Mass,Avg Mass,Std Dev,Reference mass,Mass (MFG),Relative Mass Difference (MFG),Mass Difference (MFG),Base Peak,Precursor,Ion Polarity,Max Z,Min Z,Start,RT,End,Reference Retention Time,RT Diff,Height,Width,Area,Volume,Vol %,Ions,Z Count,Saturated,ID Source,ID Techniques Applied,Score (MFG),Score (DB),Hit Count,FV,Score (Lib),Relative Reference Mass difference,Reference Mass difference,Group,Cpds/Group,File,Notes,Algorithm,Flags (Tgt),Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt),PCombinedIDResults1_ID,ExternalKey,ID,m/z,Height,RT,RT Diff,SNR,FV,CE,Coelution Score,Flags(FIs),Confirm. Flag,Compound Name
True,1,Cpd 1: 4.518,,,,232.0582,232.199,,,,,,233.0655,233.0655,Positive,1,1,4.365,4.518,4.763,,,27858,0.167,,301409,0.98,3,1,,,,,,,,,,,1,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,2,Cpd 2: 4.977,,,,530.0478,530.4076,0.0048,,,,,531.0544,531.0544,Positive,2,1,4.763,4.977,5.227,,,37199,0.166,,679832,2.22,8,2,,,,,,,,,,,2,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,3,Cpd 3: 4.989,,,,110.0392,110.1065,,,,,,111.0464,111.0464,Positive,1,1,4.78,4.989,5.244,,,44864,0.145,,386685,1.26,2,1,,,,,,,,,,,3,2,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,4,Cpd 4: 4.989,,,,110.0137,110.1196,,,,,,111.021,111.021,Positive,1,1,4.846,4.989,5.128,,,28926,0.134,,230022,0.75,3,1,,,,,,,,,,,3,2,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,5,Cpd 5: 5.052,,,,260.0532,260.1314,,,,,,261.0604,261.0604,Positive,1,1,4.962,5.052,5.227,,,52165,0.11,,352411,1.15,2,1,,,,,,,,,,,4,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,6,Cpd 6: 6.313,,,,288.0421,288.2237,,,,,,289.0494,289.0494,Positive,1,1,6.255,6.313,6.421,,,26781,0.059,,114349,0.37,4,1,,,,,,,,,,,5,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,7,Cpd 7: 6.726,,,,288.038,288.186,,,,,,289.0453,289.0453,Positive,1,1,6.587,6.726,6.852,,,104492,0.13,,1074605,3.51,4,1,,,,,,,,,,,6,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,8,Cpd 8: 7.663,,,,1418.7073,1419.6421,0.0146,,,,,710.3616,710.3616,Positive,3,2,7.466,7.663,8.212,,,1033656,0.139,,19315998,63.09,47,2,,,,,,,,,,,7,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,9,Cpd 9: 7.670,,,,1472.619,1473.4218,0.0076,,,,,737.3165,737.3165,Positive,3,2,7.499,7.67,7.93,,,47124,0.149,,858082,2.8,8,2,,,,,,,,,,,8,2,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,10,Cpd 10: 7.673,,,,1232.6546,1233.4081,,,,,,617.3346,617.3346,Positive,2,2,7.532,7.673,7.963,,,57925,0.126,,827734,2.7,6,1,,,,,,,,,,,8,2,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,11,Cpd 11: 7.917,,,,700.8572,700.976,0.0003,,,,,701.8645,701.8645,Positive,1,1,7.847,7.917,7.98,,,55327,0.069,,270347,0.88,3,1,,,,,,,,,,,9,2,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,12,Cpd 12: 7.920,,,,700.3508,700.6602,0.0073,,,,,701.3582,701.3582,Positive,1,1,7.831,7.92,8.079,,,70264,0.071,,429026,1.4,7,1,,,,,,,,,,,9,2,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,97.3,,,,,,
True,13,Cpd 13: 8.055,,,,1400.699,1401.5596,0.0118,,,,,701.3569,701.3569,Positive,2,1,7.947,8.055,8.394,,,49009,0.117,,670642,2.19,14,2,,,,,,,,,,,10,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,14,Cpd 14: 8.342,,,,316.0442,316.1434,,,,,,317.0515,317.0515,Positive,1,1,8.245,8.342,8.444,,,42702,0.071,,183910,0.6,2,1,,,,,,,,,,,11,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,15,Cpd 15: 8.352,,,,358.2243,358.387,0.0021,,,,,359.2317,359.2317,Positive,1,1,8.295,8.352,8.61,,,60506,0.058,,254584,0.83,5,1,,,,,,,,,,,12,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,16,Cpd 16: 8.746,,,,316.0448,316.2283,,,,,,317.0521,317.0521,Positive,1,1,8.676,8.746,8.908,,,39726,0.082,,231827,0.76,4,1,,,,,,,,,,,13,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,17,Cpd 17: 9.491,,,,316.044,316.187,,,,,,317.0512,317.0512,Positive,1,1,9.389,9.491,9.671,,,47356,0.069,,234297,0.77,3,1,,,,,,,,,,,14,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,18,Cpd 18: 12.520,,,,241.2715,241.4089,,,,,,242.2788,242.2788,Positive,1,1,12.473,12.52,12.905,,,33643,0.115,,142053,0.46,2,1,,,,,,,,,,,15,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,19,Cpd 19: 12.671,,,,273.2723,273.4825,,,,,,274.2795,274.2795,Positive,1,1,12.589,12.671,12.805,,,80917,0.082,,421514,1.38,4,1,,,,,,,,,,,16,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,20,Cpd 20: 13.079,,,,287.2462,287.4322,,,,,,288.2535,288.2535,Positive,1,1,12.971,13.079,13.253,,,40568,0.071,,191514,0.63,3,1,,,,,,,,,,,17,2,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,21,Cpd 21: 13.081,,,,287.2868,287.4934,,,,,,288.2941,288.2941,Positive,1,1,13.004,13.081,13.153,,,55332,0.074,,310197,1.01,4,1,,,,,,,,,,,17,2,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,22,Cpd 22: 13.247,,,,287.2854,287.5316,,,,,,288.2927,288.2927,Positive,1,1,13.153,13.247,13.385,,,27863,0.137,,259682,0.85,3,1,,,,,,,,,,,18,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,91.8,,,,,,
True,23,Cpd 23: 13.708,,,,481.247,481.6207,,,,,,482.2543,482.2543,Positive,1,1,13.319,13.708,14.115,,,27858,0.316,,741116,2.42,3,1,,,,,,,,,,,19,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,24,Cpd 24: 14.671,,,,525.2789,525.5643,,,,,,526.2862,526.2862,Positive,1,1,14.563,14.671,14.977,,,40720,0.158,,442489,1.45,3,1,,,,,,,,,,,20,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,25,Cpd 25: 14.829,,,,451.2477,451.5239,,,,,,452.255,452.255,Positive,1,1,14.679,14.829,15.193,,,51944,0.245,,702430,2.29,3,1,,,,,,,,,,,21,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,91.4,,,,,,
True,26,Cpd 26: 14.991,,,,377.2118,377.4344,,,,,,378.2191,378.2191,Positive,1,1,14.894,14.991,15.143,,,98279,0.086,,598482,1.95,3,1,,,,,,,,,,,22,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,27,Cpd 27: 15.001,,,,382.1625,382.3902,,,,,,383.1697,383.1697,Positive,1,1,14.911,15.001,15.193,,,26842,0.126,,225701,0.74,2,1,,,,,,,,,,,23,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,
True,28,Cpd 28: 15.411,,,,382.1644,382.4035,,,,,,383.1717,383.1717,Positive,1,1,15.325,15.411,15.591,,,26923,0.09,,166153,0.54,3,1,,,,,,,,,,,24,1,sk_bpc_157_75FA_75degrees_1h_241107_T01.d,,Find by Molecular Feature,,,,,100,,,,,,

